id,serial,relate,sex,age,birth_pl,nchild,eldch,marst,fams
1,6444975,3,1,17,US,0,99,Single,7
2,6314961,7,2,30,Ireland,0,99,Single,7
3,6273065,10,1,8,US,0,99,Single,10
4,6373486,1,1,35,Ireland,3,9,Married,5
5,6303493,1,1,63,Germany,0,99,Divorced/widowed,2
6,6289586,12,2,70,UK,0,99,Divorced/widowed,1
7,6386406,12,2,54,US,0,99,Single,1
8,6449576,10,1,35,Ireland,0,99,Single,7
9,6350576,3,2,4,US,0,99,Single,3
10,6405714,3,1,2,US,0,99,Single,8
11,6342558,1,1,32,Germany,2,7,Married,4
12,6380724,3,1,20,US,0,99,Single,4
13,6328216,3,1,3,US,0,99,Single,5
14,6237319,12,1,28,US,0,99,Single,1
15,6416538,3,1,9,US,0,99,Single,5
16,6435734,12,2,35,Ireland,0,99,Single,1
17,6330931,3,2,1,US,0,99,Single,4
18,6396925,3,1,16,US,0,99,Single,6
19,6297995,1,1,30,Germany,2,5,Married,5
20,6433299,3,1,7,US,0,99,Single,9
21,6247798,1,1,27,US,0,99,Married,2
22,6343381,1,1,45,Germany,2,20,Married,4
23,6337094,3,2,17,US,0,99,Single,5
24,6223207,1,1,46,Germany,2,22,Divorced/widowed,5
25,6375507,6,1,75,Ireland,2,35,Married,6
26,6220716,3,1,9,US,0,99,Single,10
27,6383000,3,1,22,US,0,99,Single,7
28,6223632,1,1,45,Ireland,1,19,Divorced/widowed,4
29,6467054,10,2,38,US,0,99,Single,4
30,6419333,3,1,54,US,0,99,Divorced/widowed,1
31,6328136,3,1,2,US,0,99,Single,4
32,6311729,12,1,50,Italy,0,99,Married,2
33,6408091,13,1,12,US,0,99,Single,1
34,6467873,3,2,26,Ireland,3,6,Married,7
35,6343088,3,2,2,US,0,99,Single,5
36,6222078,3,2,18,US,0,99,Single,7
37,6454293,3,2,1,US,0,99,Single,6
38,6320077,3,1,17,Germany,0,99,Single,11
39,6339602,1,1,60,Ireland,5,24,Married,7
40,6445408,3,2,4,US,0,99,Single,6
41,6312787,3,2,15,Others,0,99,Single,4
42,6432032,3,1,5,US,0,99,Single,6
43,6359275,3,2,25,US,2,2,Married,8
44,6245882,12,1,42,Ireland,0,99,Single,1
45,6405523,2,2,52,UK,4,27,Married,9
46,6204424,1,1,34,US,0,99,Married,1
47,6447516,9,1,2,US,0,99,Single,5
48,6442422,3,2,15,US,0,99,Single,3
49,6338890,3,2,21,Germany,0,99,Single,9
50,6234783,3,2,18,Others,0,99,Single,5
51,6228031,2,2,32,US,5,25,Married,7
52,6211929,10,1,26,Ireland,0,99,Single,11
53,6458505,2,2,44,Ireland,3,16,Married,5
54,6392326,2,2,27,US,2,4,Married,4
55,6249073,2,2,46,Ireland,5,13,Married,7
56,6327652,10,2,1,US,0,99,Single,6
57,6309035,3,2,14,Others,0,99,Single,7
58,6252680,3,2,0,US,0,99,Single,6
59,6248384,3,1,21,Germany,0,99,Single,7
60,6262094,1,1,45,US,0,99,Married,2
61,6274360,1,1,48,Germany,3,24,Married,5
62,6257442,3,2,5,US,0,99,Single,5
63,6220084,3,2,8,US,0,99,Single,6
64,6395446,1,1,37,Others,5,11,Married,7
65,6234734,1,2,50,UK,0,99,Divorced/widowed,1
66,6244387,3,2,17,Others,0,99,Single,6
67,6428304,3,2,5,US,0,99,Single,7
68,6343360,1,1,43,Germany,3,5,Married,5
69,6335625,3,1,4,US,0,99,Single,6
70,6353254,3,1,15,US,0,99,Single,8
71,6409645,1,1,8,US,0,99,Single,1
72,6362395,3,2,14,US,0,99,Single,6
73,6225377,6,2,65,Ireland,1,38,Married,5
74,6290609,7,1,45,US,0,99,Divorced/widowed,11
75,6270297,7,2,55,Ireland,0,99,Single,3
76,6227165,3,2,25,US,0,99,Married,4
77,6212092,1,1,22,US,0,99,Married,2
78,6332074,1,1,25,Germany,0,99,Married,2
79,6259926,3,2,9,UK,0,99,Single,2
80,6317815,2,2,32,US,3,9,Married,5
81,6230898,3,2,18,US,0,99,Single,6
82,6335239,12,2,28,US,0,99,Single,1
83,6203401,1,1,29,Germany,0,99,Married,2
84,6278149,2,2,25,Others,2,6,Married,4
85,6333624,3,2,10,US,0,99,Single,6
86,6338888,7,2,17,US,0,99,Single,4
87,6340905,12,2,25,Germany,0,99,Married,2
88,6331255,3,2,15,US,0,99,Single,4
89,6310656,12,2,46,Ireland,0,99,Single,1
90,6412952,2,2,32,Ireland,2,5,Married,4
91,6437375,3,2,31,US,3,9,Married,14
92,6341817,2,2,35,Ireland,4,12,Married,6
93,6252133,7,2,38,US,0,99,Divorced/widowed,4
94,6422908,3,2,18,US,0,99,Single,10
95,6229969,1,1,38,Others,2,9,Married,4
96,6377912,8,2,38,US,0,99,Divorced/widowed,6
97,6277957,1,1,34,Germany,2,7,Married,6
98,6434542,3,1,10,US,0,99,Single,10
99,6227410,2,2,47,Germany,6,24,Married,9
100,6296318,8,2,47,Germany,0,99,Divorced/widowed,3
101,6210930,3,1,14,US,0,99,Single,7
102,6270285,5,2,59,US,2,29,Divorced/widowed,4
103,6235392,3,2,24,Ireland,0,99,Single,5
104,6313708,12,2,23,US,0,99,Married,2
105,6207557,3,1,5,US,0,99,Single,9
106,6396834,1,1,29,Germany,0,99,Married,2
107,6460222,1,1,30,Ireland,2,7,Married,4
108,6231696,10,1,29,US,0,99,Single,4
109,6302534,1,1,37,Germany,1,10,Married,3
110,6290077,3,1,12,US,0,99,Single,8
111,6440292,3,2,14,US,0,99,Single,10
112,6236799,2,2,35,US,2,14,Married,5
113,6461103,3,1,18,US,0,99,Single,3
114,6207306,3,1,18,Ireland,0,99,Single,8
115,6353699,1,1,50,Ireland,1,19,Married,4
116,6331473,4,1,33,Germany,0,99,Married,5
117,6362063,3,2,5,US,0,99,Single,5
118,6279648,3,2,17,US,0,99,Single,6
119,6358124,2,2,39,Ireland,4,11,Married,6
120,6429136,12,2,23,Ireland,0,99,Single,1
121,6451379,2,2,33,Germany,7,21,Married,9
122,6255407,3,2,18,US,0,99,Single,5
123,6248859,12,1,24,US,0,99,Single,1
124,6235762,1,1,33,Germany,2,4,Married,4
125,6452771,3,1,13,US,0,99,Single,8
126,6202388,3,1,14,US,0,99,Single,6
127,6334152,3,2,17,US,0,99,Single,2
128,6242042,3,2,8,US,0,99,Single,9
129,6325114,6,2,80,US,1,34,Divorced/widowed,6
130,6376169,3,2,20,US,0,99,Single,6
131,6260345,3,1,24,US,0,99,Single,5
132,6434277,8,2,20,Germany,0,99,Single,3
133,6216769,9,1,0,US,0,99,Single,6
