1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
0.008955	0.008670	0.008203	0.007492	0.006773	0.006297	0.006004	0.005721	0.005236	0.005003	0.004670	0.004388	0.004005	0.003763	0.003673	0.003532	0.003431	0.003451	0.003481	0.003431	0.003290
0.000515	0.000464	0.000454	0.000453	0.000453	0.000403	0.000352	0.000302	0.000292	0.000291	0.000291	0.000271	0.000261	0.000251	0.000261	0.000251	0.000241	0.000231	0.000231	0.000241	0.000241
0.000363	0.000373	0.000363	0.000363	0.000343	0.000322	0.000292	0.000262	0.000231	0.000211	0.000211	0.000211	0.000201	0.000191	0.000191	0.000191	0.000181	0.000181	0.000171	0.000171	0.000171
0.000283	0.000303	0.000293	0.000292	0.000272	0.000262	0.000242	0.000221	0.000181	0.000171	0.000171	0.000171	0.000161	0.000151	0.000151	0.000141	0.000141	0.000141	0.000131	0.000131	0.000130
0.000232	0.000252	0.000242	0.000242	0.000222	0.000222	0.000211	0.000191	0.000151	0.000141	0.000141	0.000141	0.000131	0.000131	0.000121	0.000110	0.000110	0.000110	0.000110	0.000100	0.000110
0.000212	0.000222	0.000212	0.000212	0.000202	0.000202	0.000181	0.000171	0.000141	0.000131	0.000131	0.000141	0.000121	0.000110	0.000110	0.000110	0.000100	0.000100	0.000100	0.000090	0.000100
0.000222	0.000222	0.000202	0.000202	0.000192	0.000191	0.000171	0.000151	0.000131	0.000131	0.000131	0.000121	0.000121	0.000111	0.000100	0.000100	0.000100	0.000090	0.000090	0.000090	0.000090
0.000222	0.000222	0.000202	0.000202	0.000182	0.000171	0.000161	0.000141	0.000131	0.000121	0.000131	0.000121	0.000111	0.000100	0.000100	0.000110	0.000100	0.000090	0.000090	0.000080	0.000080
0.000212	0.000212	0.000202	0.000192	0.000171	0.000161	0.000161	0.000131	0.000121	0.000111	0.000131	0.000121	0.000121	0.000100	0.000090	0.000100	0.000100	0.000090	0.000080	0.000080	0.000070
0.000202	0.000202	0.000202	0.000192	0.000172	0.000161	0.000161	0.000141	0.000121	0.000111	0.000131	0.000131	0.000121	0.000100	0.000090	0.000090	0.000090	0.000090	0.000080	0.000090	0.000070
0.000192	0.000192	0.000192	0.000182	0.000161	0.000161	0.000151	0.000141	0.000131	0.000121	0.000131	0.000121	0.000111	0.000101	0.000090	0.000090	0.000090	0.000090	0.000090	0.000090	0.000080
